android.support.design.R -> android.support.design.a:
android.support.design.R$anim -> android.support.design.b:
    void writeNumber(java.math.BigDecimal) -> a
    void writeStartArray() -> e
    void writeStartObject() -> f
    void writeString(java.lang.String) -> b
    void enablePrettyPrint() -> g
com.google.api.client.extensions.android.json.AndroidJsonParser -> com.google.a.a.a.a.b.c:
    android.util.JsonReader reader -> a
    com.google.api.client.extensions.android.json.AndroidJsonFactory factory -> b
    java.util.List currentNameStack -> c
    com.google.api.client.json.JsonToken currentToken -> d
    java.lang.String currentText -> e
    void <init>(com.google.api.client.extensions.android.json.AndroidJsonFactory,android.util.JsonReader) -> <init>
    void close() -> a
    java.lang.String getCurrentName() -> b
    com.google.api.client.json.JsonToken getCurrentToken() -> c
    com.google.api.client.json.JsonFactory getFactory() -> d
    byte getByteValue() -> e
    short getShortValue() -> f
    int getIntValue() -> g
    float getFloatValue() -> h
    java.math.BigInteger getBigIntegerValue() -> i
    java.math.BigDecimal getDecimalValue() -> j
    double getDoubleValue() -> k
    long getLongValue() -> l
    void checkNumber() -> p
    java.lang.String getText() -> m
    com.google.api.client.json.JsonToken nextToken() -> n
    com.google.api.client.json.JsonParser skipChildren() -> o
com.google.api.client.extensions.android.json.AndroidJsonParser$1 -> com.google.a.a.a.a.b.d:
    int[] $SwitchMap$com$google$api$client$json$JsonToken -> a
    int[] $SwitchMap$android$util$JsonToken -> b
    void <clinit>() -> <clinit>
com.google.api.client.googleapis.GoogleUtils -> com.google.a.a.b.a:
    java.lang.Integer MAJOR_VERSION -> a
    java.lang.Integer MINOR_VERSION -> b
    java.lang.Integer BUGFIX_VERSION -> c
    java.lang.String VERSION -> d
    void <clinit>() -> <clinit>
com.google.api.client.googleapis.MethodOverride -> com.google.a.a.b.b:
    boolean overrideAllMethods -> a
    void <init>() -> <init>
    void <init>(byte) -> <init>
    void initialize(com.google.api.client.http.HttpRequest) -> a
    void intercept(com.google.api.client.http.HttpRequest) -> b
com.google.api.client.googleapis.json.GoogleJsonError -> com.google.a.a.b.a.a:
    void <init>() -> <init>
    com.google.api.client.googleapis.json.GoogleJsonError set(java.lang.String,java.lang.Object) -> c
    com.google.api.client.json.GenericJson set(java.lang.String,java.lang.Object) -> a
    com.google.api.client.json.GenericJson clone() -> a
    com.google.api.client.util.GenericData clone() -> b
    com.google.api.client.util.GenericData set(java.lang.String,java.lang.Object) -> b
    java.lang.Object clone() -> clone
    void <clinit>() -> <clinit>
com.google.api.client.googleapis.json.GoogleJsonError$ErrorInfo -> com.google.a.a.b.a.b:
    void <init>() -> <init>
    com.google.api.client.googleapis.json.GoogleJsonError$ErrorInfo set(java.lang.String,java.lang.Object) -> c
    com.google.api.client.json.GenericJson set(java.lang.String,java.lang.Object) -> a
    com.google.api.client.json.GenericJson clone() -> a
    com.google.api.client.util.GenericData clone() -> b
    com.google.api.client.util.GenericData set(java.lang.String,java.lang.Object) -> b
    java.lang.Object clone() -> clone
com.google.api.client.googleapis.json.GoogleJsonResponseException -> com.google.a.a.b.a.c:
    com.google.api.client.googleapis.json.GoogleJsonError details -> a
    void <init>(com.google.api.client.http.HttpResponseException$Builder,com.google.api.client.googleapis.json.GoogleJsonError) -> <init>
    com.google.api.client.googleapis.json.GoogleJsonResponseException from(com.google.api.client.json.JsonFactory,com.google.api.client.http.HttpResponse) -> a
com.google.api.client.googleapis.media.MediaHttpUploader -> com.google.a.a.b.b.a:
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState uploadState -> a
    com.google.api.client.http.AbstractInputStreamContent mediaContent -> f
    com.google.api.client.http.HttpRequestFactory requestFactory -> g
    com.google.api.client.http.HttpContent metadata -> h
    long mediaContentLength -> i
    boolean isMediaContentLengthCalculated -> j
    java.lang.String initiationRequestMethod -> k
    com.google.api.client.http.HttpHeaders initiationHeaders -> b
    com.google.api.client.http.HttpRequest currentRequest -> l
    java.io.InputStream contentInputStream -> m
    boolean directUploadEnabled -> c
    java.lang.String mediaContentLengthStr -> d
    long totalBytesServerReceived -> n
    int chunkSize -> o
    java.lang.Byte cachedByte -> p
    long totalBytesClientSent -> q
    int currentChunkLength -> r
    byte[] currentRequestContentBuffer -> s
    boolean disableGZipContent -> e
    com.google.api.client.http.HttpResponse directUpload(com.google.api.client.http.GenericUrl) -> a
    com.google.api.client.http.HttpResponse resumableUpload(com.google.api.client.http.GenericUrl) -> b
    boolean isMediaLengthKnown() -> b
    long getMediaContentLength() -> c
    com.google.api.client.http.HttpResponse executeUploadInitiation(com.google.api.client.http.GenericUrl) -> c
    com.google.api.client.http.HttpResponse executeCurrentRequestWithoutGZip(com.google.api.client.http.HttpRequest) -> a
    com.google.api.client.http.HttpResponse executeCurrentRequest(com.google.api.client.http.HttpRequest) -> b
    void serverErrorCallback() -> a
com.google.api.client.googleapis.media.MediaHttpUploader$UploadState -> com.google.a.a.b.b.b:
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState NOT_STARTED -> a
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState INITIATION_STARTED -> b
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState INITIATION_COMPLETE -> c
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState MEDIA_IN_PROGRESS -> d
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState MEDIA_COMPLETE -> e
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState[] $VALUES -> f
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState[] values() -> values
    com.google.api.client.googleapis.media.MediaHttpUploader$UploadState valueOf(java.lang.String) -> valueOf
    void <init>(java.lang.String,int) -> <init>
    void <clinit>() -> <clinit>
com.google.api.client.googleapis.media.MediaUploadErrorHandler -> com.google.a.a.b.b.c:
    java.util.logging.Logger LOGGER -> a
    com.google.api.client.googleapis.media.MediaHttpUploader uploader -> b
    com.google.api.client.http.HttpIOExceptionHandler originalIOExceptionHandler -> c
    com.google.api.client.http.HttpUnsuccessfulResponseHandler originalUnsuccessfulHandler -> d
    void <init>(com.google.api.client.googleapis.media.MediaHttpUploader,com.google.api.client.http.HttpRequest) -> <init>
    boolean handleIOException(com.google.api.client.http.HttpRequest,boolean) -> a
    boolean handleResponse(com.google.api.client.http.HttpRequest,com.google.api.client.http.HttpResponse,boolean) -> a
    void <clinit>() -> <clinit>
com.google.api.client.googleapis.services.AbstractGoogleClient -> com.google.a.a.b.c.a:
    java.util.logging.Logger LOGGER -> a
    com.google.api.client.http.HttpRequestFactory requestFactory -> b
    com.google.api.client.googleapis.services.GoogleClientRequestInitializer googleClientRequestInitializer -> f
    java.lang.String rootUrl -> c
    java.lang.String servicePath -> d
    java.lang.String applicationName -> e
    com.google.api.client.util.ObjectParser objectParser -> g
    boolean suppressPatternChecks -> h
    boolean suppressRequiredParameterChecks -> i
    void <init>(com.google.api.client.googleapis.services.AbstractGoogleClient$Builder) -> <init>
    com.google.api.client.util.ObjectParser getObjectParser() -> a
    void initialize(com.google.api.client.googleapis.services.AbstractGoogleClientRequest) -> a
    java.lang.String normalizeRootUrl(java.lang.String) -> a
    java.lang.String normalizeServicePath(java.lang.String) -> b
    void <clinit>() -> <clinit>
com.google.api.client.googleapis.services.AbstractGoogleClient$Builder -> com.google.a.a.b.c.b:
    com.google.api.client.http.HttpTransport transport -> a
    com.google.api.client.googleapis.services.GoogleClientRequestInitializer googleClientRequestInitializer -> b
    com.google.api.client.http.HttpRequestInitializer httpRequestInitializer -> c
    com.google.api.client.util.ObjectParser objectParser -> d
    java.lang.String rootUrl -> e
    java.lang.String servicePath -> f
    java.lang.String applicationName -> g
    boolean suppressPatternChecks -> h
    boolean suppressRequiredParameterChecks -> i
    void <init>(com.google.api.client.http.HttpTransport,java.lang.String,java.lang.String,com.google.api.client.util.ObjectParser) -> <init>
    com.google.api.client.googleapis.services.AbstractGoogleClient$Builder setRootUrl(java.lang.String) -> a
    com.google.api.client.googleapis.services.AbstractGoogleClient$Builder setServicePath(java.lang.String) -> b
    com.google.api.client.googleapis.services.AbstractGoogleClient$Builder setGoogleClientRequestInitializer(com.google.api.client.googleapis.services.GoogleClientRequestInitializer) -> a
    com.google.api.client.googleapis.services.AbstractGoogleClient$Builder setApplicationName(java.lang.String) -> c
com.google.api.client.googleapis.services.AbstractGoogleClientRequest -> com.google.a.a.b.c.c:
    com.google.api.client.googleapis.services.AbstractGoogleClient abstractGoogleClient -> a
    java.lang.String requestMethod -> b
    java.lang.String uriTemplate -> c
    com.google.api.client.http.HttpContent httpContent -> d
    com.google.api.client.http.HttpHeaders requestHeaders -> e
    com.google.api.client.http.HttpHeaders lastResponseHeaders -> f
    int lastStatusCode -> g
    java.lang.String lastStatusMessage -> h
    boolean disableGZipContent -> i
    java.lang.Class responseClass -> j
    com.google.api.client.googleapis.media.MediaHttpUploader uploader -> m
    void <init>(com.google.api.client.googleapis.services.AbstractGoogleClient,java.lang.String,java.lang.String,com.google.api.client.http.HttpContent,java.lang.Class) -> <init>
    com.google.api.client.googleapis.services.AbstractGoogleClientRequest setDisableGZipContent(boolean) -> a
    com.google.api.client.googleapis.services.AbstractGoogleClient getAbstractGoogleClient() -> a
    com.google.api.client.http.GenericUrl buildHttpRequestUrl() -> d
    java.io.IOException newExceptionOnError(com.google.api.client.http.HttpResponse) -> a
    java.lang.Object execute() -> c
    com.google.api.client.googleapis.services.AbstractGoogleClientRequest set(java.lang.String,java.lang.Object) -> a
    com.google.api.client.util.GenericData set(java.lang.String,java.lang.Object) -> b
com.google.api.client.googleapis.services.AbstractGoogleClientRequest$1 -> com.google.a.a.b.c.d:
    com.google.api.client.http.HttpResponseInterceptor val$responseInterceptor -> a
    com.google.api.client.http.HttpRequest val$httpRequest -> b
    com.google.api.client.googleapis.services.AbstractGoogleClientRequest this$0 -> c
    void <init>(com.google.api.client.googleapis.services.AbstractGoogleClientRequest,com.google.api.client.http.HttpResponseInterceptor,com.google.api.client.http.HttpRequest) -> <init>
    void interceptResponse(com.google.api.client.http.HttpResponse) -> a
com.google.api.client.googleapis.services.GoogleClientRequestInitializer -> com.google.a.a.b.c.e:
    void initialize(com.google.api.client.googleapis.services.AbstractGoogleClientRequest) -> a
com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient -> com.google.a.a.b.c.a.a:
    void <init>(com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient$Builder) -> <init>
    com.google.api.client.json.JsonObjectParser getObjectParser() -> b
    com.google.api.client.json.JsonFactory getJsonFactory() -> c
    com.google.api.client.util.ObjectParser getObjectParser() -> a
com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient$Builder -> com.google.a.a.b.c.a.b:
    void <init>(com.google.api.client.http.HttpTransport,com.google.api.client.json.JsonFactory,java.lang.String,java.lang.String) -> <init>
    com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient$Builder setRootUrl(java.lang.String) -> d
    com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient$Builder setServicePath(java.lang.String) -> e
    com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient$Builder setGoogleClientRequestInitializer(com.google.api.client.googleapis.services.GoogleClientRequestInitializer) -> b
    com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient$Builder setApplicationName(java.lang.String) -> f
    com.google.api.client.googleapis.services.AbstractGoogleClient$Builder setApplicationName(java.lang.String) -> c
    com.google.api.client.googleapis.services.AbstractGoogleClient$Builder setGoogleClientRequestInitializer(com.google.api.client.googleapis.services.GoogleClientRequestInitializer) -> a
    com.google.api.client.googleapis.services.AbstractGoogleClient$Builder setServicePath(java.lang.String) -> b
    com.google.api.client.googleapis.services.AbstractGoogleClient$Builder setRootUrl(java.lang.String) -> a
com.google.api.client.googleapis.services.json.AbstractGoogleJsonClientRequest -> com.google.a.a.b.c.a.c:
    java.lang.Object jsonContent -> a
    void <init>(com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient,java.lang.String,java.lang.String,java.lang.Object,java.lang.Class) -> <init>
    com.google.api.client.googleapis.services.json.AbstractGoogleJsonClient getAbstractGoogleClient() -> d
    com.google.api.client.googleapis.services.json.AbstractGoogleJsonClientRequest setDisableGZipContent(boolean) -> b
    com.google.api.client.googleapis.services.json.AbstractGoogleJsonClientRequest set(java.lang.String,java.lang.Object) -> c
    com.google.api.client.googleapis.services.AbstractGoogleClientRequest set(java.lang.String,java.lang.Object) -> a
    java.io.IOException newExceptionOnError(com.google.api.client.http.HttpResponse) -> a
    com.google.api.client.googleapis.services.AbstractGoogleClient getAbstractGoogleClient() -> a
    com.google.api.client.googleapis.services.AbstractGoogleClientRequest setDisableGZipContent(boolean) -> a
    com.google.api.client.util.GenericData set(java.lang.String,java.lang.Object) -> b
com.google.api.client.http.AbstractHttpContent -> com.google.a.a.c.a:
    com.google.api.client.http.HttpMediaType mediaType -> a
    long computedLength -> b
    void <init>(java.lang.String) -> <init>
    void <init>(com.google.api.client.http.HttpMediaType) -> <init>
    long getLength() -> a
    java.nio.charset.Charset getCharset() -> b
    java.lang.String getType() -> c
    boolean retrySupported() -> d
    long computeLength(com.google.api.client.http.HttpContent) -> a
com.google.api.client.http.AbstractInputStreamContent -> com.google.a.a.c.b:
    java.lang.String type -> a
    boolean closeInputStream -> b
    void <init>(java.lang.String) -> <init>
    java.io.InputStream getInputStream() -> b
    void writeTo(java.io.OutputStream) -> a
    java.lang.String getType() -> c
    com.google.api.client.http.AbstractInputStreamContent setType(java.lang.String) -> a
    com.google.api.client.http.AbstractInputStreamContent setCloseInputStream(boolean) -> a
com.google.api.client.http.BackOffPolicy -> com.google.a.a.c.c:
    boolean isBackOffRequired$134632() -> a
    long getNextBackOffMillis() -> b
com.google.api.client.http.ByteArrayContent -> com.google.a.a.c.d:
    byte[] byteArray -> c
    int offset -> d
    int length -> e
    void <init>(java.lang.String,byte[],int) -> <init>
    long getLength() -> a
    boolean retrySupported() -> d
    java.io.InputStream getInputStream() -> b
    com.google.api.client.http.AbstractInputStreamContent setCloseInputStream(boolean) -> a
    com.google.api.client.http.AbstractInputStreamContent setType(java.lang.String) -> a
com.google.api.client.http.EmptyContent -> com.google.a.a.c.e:
    void <init>() -> <init>
    long getLength() -> a
    java.lang.String getType() -> c
    void writeTo(java.io.OutputStream) -> a
    boolean retrySupported() -> d
com.google.api.client.http.GZipEncoding -> com.google.a.a.c.f:
    void <init>() -> <init>
    java.lang.String getName() -> a
    void encode(com.google.api.client.util.StreamingContent,java.io.OutputStream) -> a
com.google.api.client.http.GZipEncoding$1 -> com.google.a.a.c.g:
    com.google.api.client.http.GZipEncoding this$0 -> a
    void <init>(com.google.api.client.http.GZipEncoding,java.io.OutputStream) -> <init>
    void close() -> close
com.google.api.client.http.GenericUrl -> com.google.a.a.c.h:
    com.google.api.client.util.escape.Escaper URI_FRAGMENT_ESCAPER -> b
    java.lang.String scheme -> c
    java.lang.String host -> d
    java.lang.String userInfo -> e
    int port -> f
    java.util.List pathParts -> a
    java.lang.String fragment -> g
    void <init>() -> <init>
    void <init>(java.lang.String) -> <init>
    void <init>(java.net.URL) -> <init>
    void <init>(java.lang.String,java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String) -> <init>
    int hashCode() -> hashCode
    boolean equals(java.lang.Object) -> equals
    java.lang.String toString() -> toString
    com.google.api.client.http.GenericUrl clone() -> a
    java.lang.String build() -> c
    java.net.URL toURL(java.lang.String) -> a
    java.util.List toPathParts(java.lang.String) -> b
    void appendRawPathFromParts(java.lang.StringBuilder) -> a
    void addQueryParams(java.util.Set,java.lang.StringBuilder) -> a
    boolean appendParam(boolean,java.lang.StringBuilder,java.lang.String,java.lang.Object) -> a
    java.net.URL parseURL(java.lang.String) -> c
    com.google.api.client.util.GenericData clone() -> b
    com.google.api.client.util.GenericData set(java.lang.String,java.lang.Object) -> b
    java.lang.Object clone() -> clone
    void <clinit>() -> <clinit>
com.google.api.client.http.HttpContent -> com.google.a.a.c.i:
    long getLength() -> a
    java.lang.String getType() -> c
    boolean retrySupported() -> d
com.google.api.client.http.HttpEncoding -> com.google.a.a.c.j:
    java.lang.String getName() -> a
    void encode(com.google.api.client.util.StreamingContent,java.io.OutputStream) -> a
com.google.api.client.http.HttpEncodingStreamingContent -> com.google.a.a.c.k:
    com.google.api.client.util.StreamingContent content -> a
    com.google.api.client.http.HttpEncoding encoding -> b
    void <init>(com.google.api.client.util.StreamingContent,com.google.api.client.http.HttpEncoding) -> <init>
    void writeTo(java.io.OutputStream) -> a
com.google.api.client.http.HttpExecuteInterceptor -> com.google.a.a.c.l:
    void intercept(com.google.api.client.http.HttpRequest) -> b
com.google.api.client.http.HttpHeaders -> com.google.a.a.c.m:
    java.util.List acceptEncoding -> a
    java.util.List authorization -> b
    java.util.List contentEncoding -> m
    java.util.List contentLength -> n
    java.util.List contentRange -> o
    java.util.List contentType -> c
    java.util.List ifModifiedSince -> d
    java.util.List ifMatch -> e
    java.util.List ifNoneMatch -> f
    java.util.List ifUnmodifiedSince -> g
    java.util.List ifRange -> h
    java.util.List location -> p
    java.util.List range -> i
    java.util.List userAgent -> j
    void <init>() -> <init>
    com.google.api.client.http.HttpHeaders set(java.lang.String,java.lang.Object) -> a
    com.google.api.client.http.HttpHeaders setContentEncoding(java.lang.String) -> a
    com.google.api.client.http.HttpHeaders setContentLength(java.lang.Long) -> a
    com.google.api.client.http.HttpHeaders setContentRange(java.lang.String) -> b
    com.google.api.client.http.HttpHeaders setContentType(java.lang.String) -> c
    java.lang.String getLocation() -> a
    com.google.api.client.http.HttpHeaders setUserAgent(java.lang.String) -> d
    void addHeader(java.util.logging.Logger,java.lang.StringBuilder,java.lang.StringBuilder,com.google.api.client.http.LowLevelHttpRequest,java.lang.String,java.lang.Object,java.io.Writer) -> a
    void serializeHeaders(com.google.api.client.http.HttpHeaders,java.lang.StringBuilder,java.lang.StringBuilder,java.util.logging.Logger,com.google.api.client.http.LowLevelHttpRequest) -> a
    void serializeHeadersForMultipartRequests$37ae7cf4(com.google.api.client.http.HttpHeaders,java.io.Writer) -> a
    void serializeHeaders(com.google.api.client.http.HttpHeaders,java.lang.StringBuilder,java.lang.StringBuilder,java.util.logging.Logger,com.google.api.client.http.LowLevelHttpRequest,java.io.Writer) -> a
    void fromHttpResponse(com.google.api.client.http.LowLevelHttpResponse,java.lang.StringBuilder) -> a
    java.lang.Object getFirstHeaderValue(java.util.List) -> a
    java.util.List getAsList(java.lang.Object) -> a
    void fromHttpHeaders(com.google.api.client.http.HttpHeaders) -> a
    void parseHeader(java.lang.String,java.lang.String,com.google.api.client.http.HttpHeaders$ParseHeaderState) -> a
    java.lang.Object parseValue(java.lang.reflect.Type,java.util.List,java.lang.String) -> a
    com.google.api.client.util.GenericData clone() -> b
    com.google.api.client.util.GenericData set(java.lang.String,java.lang.Object) -> b
    java.lang.Object clone() -> clone
com.google.api.client.http.HttpHeaders$HeaderParsingFakeLevelHttpRequest -> com.google.a.a.c.n:
    com.google.api.client.http.HttpHeaders target -> e
    com.google.api.client.http.HttpHeaders$ParseHeaderState state -> f
    void <init>(com.google.api.client.http.HttpHeaders,com.google.api.client.http.HttpHeaders$ParseHeaderState) -> <init>
    void addHeader(java.lang.String,java.lang.String) -> a
    com.google.api.client.http.LowLevelHttpResponse execute() -> a
com.google.api.client.http.HttpHeaders$ParseHeaderState -> com.google.a.a.c.o:
    com.google.api.client.util.ArrayValueMap arrayValueMap -> a
    java.lang.StringBuilder logger -> b
    com.google.api.client.util.ClassInfo classInfo -> c
    java.util.List context -> d
    void <init>(com.google.api.client.http.HttpHeaders,java.lang.StringBuilder) -> <init>
com.google.api.client.http.HttpIOExceptionHandler -> com.google.a.a.c.p:
    boolean handleIOException(com.google.api.client.http.HttpRequest,boolean) -> a
com.google.api.client.http.HttpMediaType -> com.google.a.a.c.q:
    java.util.regex.Pattern TYPE_REGEX -> a
    java.util.regex.Pattern TOKEN_REGEX -> b
    java.util.regex.Pattern FULL_MEDIA_TYPE_REGEX -> c
    java.util.regex.Pattern PARAMETER_REGEX -> d
    java.lang.String type -> e
    java.lang.String subType -> f
    java.util.SortedMap parameters -> g
    java.lang.String cachedBuildResult -> h
    void <init>(java.lang.String) -> <init>
    com.google.api.client.http.HttpMediaType fromString(java.lang.String) -> c
    com.google.api.client.http.HttpMediaType setParameter(java.lang.String,java.lang.String) -> a
    java.lang.String getParameter(java.lang.String) -> a
    boolean matchesToken(java.lang.String) -> b
    java.lang.String build() -> a
    java.lang.String toString() -> toString
    boolean equalsIgnoreParameters(com.google.api.client.http.HttpMediaType) -> a
    boolean equalsIgnoreParameters(java.lang.String,java.lang.String) -> b
    java.nio.charset.Charset getCharsetParameter() -> b
    int hashCode() -> hashCode
    boolean equals(java.lang.Object) -> equals
    void <clinit>() -> <clinit>
com.google.api.client.http.HttpRequest -> com.google.a.a.c.r:
    com.google.api.client.http.HttpExecuteInterceptor executeInterceptor -> a
    com.google.api.client.http.HttpHeaders headers -> b
    com.google.api.client.http.HttpHeaders responseHeaders -> c
    int numRetries -> p
    int contentLoggingLimit -> d
    boolean loggingEnabled -> e
    boolean curlLoggingEnabled -> q
    com.google.api.client.http.HttpContent content -> f
    com.google.api.client.http.HttpTransport transport -> g
    java.lang.String requestMethod -> h
    com.google.api.client.http.GenericUrl url -> i
    int connectTimeout -> r
    int readTimeout -> s
    com.google.api.client.http.HttpUnsuccessfulResponseHandler unsuccessfulResponseHandler -> j
    com.google.api.client.http.HttpIOExceptionHandler ioExceptionHandler -> k
    com.google.api.client.http.HttpResponseInterceptor responseInterceptor -> l
    com.google.api.client.util.ObjectParser objectParser -> m
    com.google.api.client.http.HttpEncoding encoding -> n
    com.google.api.client.http.BackOffPolicy backOffPolicy -> t
    boolean followRedirects -> u
    boolean throwExceptionOnExecuteError -> o
    boolean retryOnExecuteIOException -> v
    boolean suppressUserAgentSuffix -> w
    com.google.api.client.util.Sleeper sleeper -> x
    void <init>(com.google.api.client.http.HttpTransport) -> <init>
    com.google.api.client.http.HttpRequest setRequestMethod(java.lang.String) -> a
    com.google.api.client.http.HttpRequest setUrl(com.google.api.client.http.GenericUrl) -> a
    com.google.api.client.http.HttpResponse execute() -> a
com.google.api.client.http.HttpRequestFactory -> com.google.a.a.c.s:
    com.google.api.client.http.HttpTransport transport -> a
    com.google.api.client.http.HttpRequestInitializer initializer -> b
    void <init>(com.google.api.client.http.HttpTransport,com.google.api.client.http.HttpRequestInitializer) -> <init>
    com.google.api.client.http.HttpRequest buildRequest(java.lang.String,com.google.api.client.http.GenericUrl,com.google.api.client.http.HttpContent) -> a
com.google.api.client.http.HttpRequestInitializer -> com.google.a.a.c.t:
    void initialize(com.google.api.client.http.HttpRequest) -> a
com.google.api.client.http.HttpResponse -> com.google.a.a.c.u:
    java.io.InputStream content -> f
    java.lang.String contentEncoding -> g
    java.lang.String contentType -> a
    com.google.api.client.http.HttpMediaType mediaType -> h
    com.google.api.client.http.LowLevelHttpResponse response -> b
    int statusCode -> c
    java.lang.String statusMessage -> d
    com.google.api.client.http.HttpRequest request -> e
    int contentLoggingLimit -> i
    boolean loggingEnabled -> j
    boolean contentRead -> k
    void <init>(com.google.api.client.http.HttpRequest,com.google.api.client.http.LowLevelHttpResponse) -> <init>
    boolean isSuccessStatusCode() -> a
    java.io.InputStream getContent() -> b
    void ignore() -> c
    void disconnect() -> d
    java.lang.String parseAsString() -> e
    java.nio.charset.Charset getContentCharset() -> f
com.google.api.client.http.HttpResponseException -> com.google.a.a.c.v:
    int statusCode -> a
    java.lang.String statusMessage -> b
    com.google.api.client.http.HttpHeaders headers -> c
    java.lang.String content -> d
    void <init>(com.google.api.client.http.HttpResponse) -> <init>
    void <init>(com.google.api.client.http.HttpResponseException$Builder) -> <init>
    java.lang.StringBuilder computeMessageBuffer(com.google.api.client.http.HttpResponse) -> a
com.google.api.client.http.HttpResponseException$Builder -> com.google.a.a.c.w:
    int statusCode -> a
    java.lang.String statusMessage -> b
    com.google.api.client.http.HttpHeaders headers -> c
    java.lang.String content -> d
    java.lang.String message -> e
    void <init>(int,java.lang.String,com.google.api.client.http.HttpHeaders) -> <init>
    void <init>(com.google.api.client.http.HttpResponse) -> <init>
com.google.api.client.http.HttpResponseInterceptor -> com.google.a.a.c.x:
    void interceptResponse(com.google.api.client.http.HttpResponse) -> a
com.google.api.client.http.HttpTransport -> com.google.a.a.c.y:
    java.util.logging.Logger LOGGER -> a
    java.lang.String[] SUPPORTED_METHODS -> b
    void <init>() -> <init>
    com.google.api.client.http.HttpRequestFactory createRequestFactory(com.google.api.client.http.HttpRequestInitializer) -> a
    boolean supportsMethod(java.lang.String) -> a
    com.google.api.client.http.LowLevelHttpRequest buildRequest(java.lang.String,java.lang.String) -> a
    void <clinit>() -> <clinit>
com.google.api.client.http.HttpUnsuccessfulResponseHandler -> com.google.a.a.c.z:
    boolean handleResponse(com.google.api.client.http.HttpRequest,com.google.api.client.http.HttpResponse,boolean) -> a
com.google.api.client.http.InputStreamContent -> com.google.a.a.c.aa:
    long length -> c
    boolean retrySupported -> d
    java.io.InputStream inputStream -> e
    void <init>(java.lang.String,java.io.InputStream) -> <init>
    long getLength() -> a
    boolean retrySupported() -> d
    java.io.InputStream getInputStream() -> b
    com.google.api.client.http.InputStreamContent setCloseInputStream(boolean) -> b
    com.google.api.client.http.AbstractInputStreamContent setCloseInputStream(boolean) -> a
    com.google.api.client.http.AbstractInputStreamContent setType(java.lang.String) -> a
com.google.api.client.http.LowLevelHttpRequest -> com.google.a.a.c.ab:
    long contentLength -> a
    java.lang.String contentEncoding -> b
    java.lang.String contentType -> c
    com.google.api.client.util.StreamingContent streamingContent -> d
    void <init>() -> <init>
    void addHeader(java.lang.String,java.lang.String) -> a
    void setTimeout(int,int) -> a
    com.google.api.client.http.LowLevelHttpResponse execute() -> a
com.google.api.client.http.LowLevelHttpResponse -> com.google.a.a.c.ac:
    void <init>() -> <init>
    java.io.InputStream getContent() -> a
    java.lang.String getContentEncoding() -> b
    java.lang.String getContentType() -> c
    java.lang.String getStatusLine() -> d
    int getStatusCode() -> e
    java.lang.String getReasonPhrase() -> f
    int getHeaderCount() -> g
    java.lang.String getHeaderName(int) -> a
    java.lang.String getHeaderValue(int) -> b
    void disconnect() -> h
com.google.api.client.http.MultipartContent -> com.google.a.a.c.ad:
    java.util.ArrayList parts -> b
    void <init>() -> <init>
    void writeTo(java.io.OutputStream) -> a
    boolean retrySupported() -> d
com.google.api.client.http.MultipartContent$Part -> com.google.a.a.c.ae:
    com.google.api.client.http.HttpContent content -> a
    com.google.api.client.http.HttpHeaders headers -> b
    com.google.api.client.http.HttpEncoding encoding -> c
    void <init>() -> <init>
    void <init>(com.google.api.client.http.HttpContent) -> <init>
    void <init>(com.google.api.client.http.HttpContent,byte) -> <init>
com.google.api.client.http.UriTemplate -> com.google.a.a.c.af:
    java.util.Map COMPOSITE_PREFIXES -> a
    java.util.Map getMap(java.lang.Object) -> a
    java.lang.String expand$6b8c5eb1(java.lang.String,java.lang.String,java.lang.Object) -> a
    java.lang.String expand$762fd3a7(java.lang.String,java.lang.Object) -> a
    java.lang.String getListPropertyValue(java.lang.String,java.util.Iterator,boolean,com.google.api.client.http.UriTemplate$CompositeOutput) -> a
    java.lang.String getMapPropertyValue(java.lang.String,java.util.Map,boolean,com.google.api.client.http.UriTemplate$CompositeOutput) -> a
    void <clinit>() -> <clinit>
com.google.api.client.http.UriTemplate$CompositeOutput -> com.google.a.a.c.ag:
    com.google.api.client.http.UriTemplate$CompositeOutput PLUS -> a
    com.google.api.client.http.UriTemplate$CompositeOutput HASH -> b
    com.google.api.client.http.UriTemplate$CompositeOutput DOT -> c
    com.google.api.client.http.UriTemplate$CompositeOutput FORWARD_SLASH -> d
    com.google.api.client.http.UriTemplate$CompositeOutput SEMI_COLON -> e
